name,town,capacity,roofed,latitude,longitude,url
Salón de Actos(Palacio de Congresos y Exposiciones) de Gijón,,730,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=45
Teatre Ateneu de Tàrrega,Tàrrega,552,True,41.6478307,1.1418977406196398,https://www.proyectomire.org/web/datosrecinto.php?id=47
Teatre Bartrina de Reus,,435,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=48
Teatre Condal de Barcelona,Barcelona,722,True,41.3747756,2.1644681,https://www.proyectomire.org/web/datosrecinto.php?id=49
Teatre Conservatori de Manresa,Manresa,566,True,41.7247903,1.8233415,https://www.proyectomire.org/web/datosrecinto.php?id=50
Teatre de Salt de Salt,,274,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=51
Teatre del Sol de Sabadell,Sabadell,185,True,41.54576663489412,2.108840497245217,https://www.proyectomire.org/web/datosrecinto.php?id=52
Teatre Lliure Gràcia de Barcelona,Barcelona,315,True,41.4027189,2.1559586,https://www.proyectomire.org/web/datosrecinto.php?id=53
Teatre Modern de El Prat de Llobregat,el Prat de Llobregat,482,True,41.33033145,2.092716653182241,https://www.proyectomire.org/web/datosrecinto.php?id=54
Teatre Municipal de Balaguer,,700,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=55
Teatre Municipal de Girona(Ayuntamiento de Girona) de Gerona/Girona,,596,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=56
Teatre Municipal La Faràndula de Sabadell,Sabadell,1069,True,41.54631365,2.1139567505635526,https://www.proyectomire.org/web/datosrecinto.php?id=57
Teatre Principal de Badalona,Badalona,350,True,41.45196827044486,2.2495243296278757,https://www.proyectomire.org/web/datosrecinto.php?id=58
Teatre Principal de Barcelona,,929,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=59
Teatre Principal de Olot,,544,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=60
Teatre Principal de Valencia,València,1226,True,39.47074535,-0.3744734278807535,https://www.proyectomire.org/web/datosrecinto.php?id=61
Teatre Romea de Barcelona,,615,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=62
Teatre Victòria de Barcelona,Barcelona,1134,True,41.37498731676953,2.1656616860215574,https://www.proyectomire.org/web/datosrecinto.php?id=63
Teatro Soho Caixabank de Málaga,,579,True,,,https://www.proyectomire.org/web/datosrecinto.php?id=64
Teatro Albéniz de Madrid,Las Rozas de Madrid,1040,True,40.5229103,-3.8909015833788207,https://www.proyectomire.org/web/datosrecinto.php?id=65
